team_id,team_title,match_date,home_away,xG,xGA,npxG,npxGA,ppda_att,ppda_def,ppda_allowed_att,ppda_allowed_def,deep,deep_allowed,scored,missed,xpts,result,wins,draws,loses,pts,npxGD,league,year
119,Bayer Leverkusen,2018-12-16 17:00:00,a,0.744745,3.59588,0.744745,3.59588,207,22,230,38,4,10,1,2,0.1012,l,0,0,1,0,-2.851135,Bundesliga,2018
119,Bayer Leverkusen,2018-12-19 17:30:00,a,0.683564,1.84453,0.683564,1.84453,265,34,248,45,2,8,2,1,0.4954,w,1,0,0,3,-1.1609660000000002,Bundesliga,2018
119,Bayer Leverkusen,2018-12-22 14:30:00,h,1.82482,1.26734,1.82482,1.26734,294,17,394,24,9,5,3,1,1.7905000000000002,w,1,0,0,3,0.5574800000000002,Bundesliga,2018
119,Bayer Leverkusen,2019-01-19 14:30:00,h,1.20925,0.747044,1.20925,0.747044,203,31,371,22,6,4,0,1,1.7183000000000002,l,0,0,1,0,0.4622059999999999,Bundesliga,2018
119,Bayer Leverkusen,2019-01-26 14:30:00,a,3.00387,1.19108,2.24609,1.19108,230,20,261,22,14,3,3,0,2.4774,w,1,0,0,3,1.0550100000000002,Bundesliga,2018
119,Bayer Leverkusen,2019-02-02 14:30:00,h,1.2769,1.868,1.2769,1.868,259,29,262,31,4,7,3,1,0.9285,w,1,0,0,3,-0.5911000000000002,Bundesliga,2018
119,Bayer Leverkusen,2019-02-08 19:30:00,a,3.30348,1.88457,3.30348,1.88457,131,22,528,31,11,5,5,1,2.2947,w,1,0,0,3,1.41891,Bundesliga,2018
119,Bayer Leverkusen,2019-02-17 17:00:00,h,1.90354,0.209187,1.90354,0.209187,108,13,752,21,6,0,2,0,2.6859,w,1,0,0,3,1.694353,Bundesliga,2018
119,Bayer Leverkusen,2019-02-24 17:00:00,a,1.26295,1.05083,1.26295,1.05083,207,26,443,23,4,4,2,3,1.5025,l,0,0,1,0,0.2121200000000001,Bundesliga,2018
119,Bayer Leverkusen,2019-03-02 14:30:00,h,3.25987,0.26273,3.25987,0.26273,201,21,594,19,11,2,2,0,2.9785999999999997,w,1,0,0,3,2.99714,Bundesliga,2018
119,Bayer Leverkusen,2019-03-10 17:00:00,a,2.44206,0.672836,2.44206,0.672836,134,30,278,31,15,3,3,2,2.6446,w,1,0,0,3,1.769224,Bundesliga,2018
119,Bayer Leverkusen,2019-03-17 12:30:00,h,0.917302,1.31225,0.917302,1.31225,147,23,379,19,15,2,1,3,1.0023,l,0,0,1,0,-0.3949479999999999,Bundesliga,2018
119,Bayer Leverkusen,2019-03-29 19:30:00,a,1.71436,2.4473,1.71436,2.4473,201,20,396,23,13,3,1,4,0.8236,l,0,0,1,0,-0.7329399999999997,Bundesliga,2018
119,Bayer Leverkusen,2019-04-06 14:30:00,h,2.1254,1.44447,1.36786,0.686698,161,20,370,33,9,1,2,4,1.95,l,0,0,1,0,0.681162,Bundesliga,2018
119,Bayer Leverkusen,2019-04-13 14:30:00,a,2.53521,0.444283,1.77744,0.444283,148,14,438,28,10,5,1,0,2.7281,w,1,0,0,3,1.333157,Bundesliga,2018
119,Bayer Leverkusen,2019-04-20 14:30:00,h,1.51156,0.245739,1.51156,0.245739,231,28,364,16,20,7,2,0,2.3882000000000003,w,1,0,0,3,1.265821,Bundesliga,2018
119,Bayer Leverkusen,2019-04-26 19:30:00,a,2.9293,0.278207,2.9293,0.278207,140,23,570,25,11,1,4,1,2.8888,w,1,0,0,3,2.651093,Bundesliga,2018
119,Bayer Leverkusen,2019-05-05 17:00:00,h,2.78767,0.17067,2.78767,0.17067,98,18,764,31,16,1,6,1,2.9063999999999997,w,1,0,0,3,2.617,Bundesliga,2018
119,Bayer Leverkusen,2019-05-11 14:30:00,h,1.61536,1.79193,1.61536,1.03415,137,17,518,19,6,4,1,1,1.1861,d,0,1,0,1,0.58121,Bundesliga,2018
119,Bayer Leverkusen,2019-05-18 13:30:00,a,2.37483,1.20477,2.37483,1.20477,235,28,488,23,6,2,5,1,2.3761,w,1,0,0,3,1.1700600000000003,Bundesliga,2018
120,Hoffenheim,2018-08-24 21:30:00,a,0.697274,3.08883,0.697274,2.33114,360,27,160,17,3,11,1,3,0.1354,l,0,0,1,0,-1.633866,Bundesliga,2018
120,Hoffenheim,2018-09-01 13:30:00,h,3.48013,1.53718,3.48013,1.53718,165,24,269,31,4,4,3,1,2.545,w,1,0,0,3,1.94295,Bundesliga,2018
120,Hoffenheim,2018-09-15 13:30:00,a,2.19977,1.78366,2.19977,1.02589,114,23,287,16,15,0,1,2,1.6475,l,0,0,1,0,1.17388,Bundesliga,2018
120,Hoffenheim,2018-09-22 13:30:00,h,1.92814,1.4456,1.92814,1.4456,377,21,253,18,8,4,1,1,1.7359,d,0,1,0,1,0.4825399999999999,Bundesliga,2018
120,Hoffenheim,2018-09-25 18:30:00,a,1.98958,2.06878,1.98958,1.311,351,25,184,27,7,8,3,1,1.2928,w,1,0,0,3,0.67858,Bundesliga,2018
120,Hoffenheim,2018-09-29 13:30:00,h,1.77221,1.47287,1.01443,1.47287,211,27,317,24,11,9,1,2,1.599,l,0,0,1,0,-0.4584399999999999,Bundesliga,2018
120,Hoffenheim,2018-10-07 13:30:00,h,2.24067,1.02517,2.24067,1.02517,127,19,291,21,12,1,1,2,2.2992,l,0,0,1,0,1.2155000000000002,Bundesliga,2018
120,Hoffenheim,2018-10-20 13:30:00,a,2.46148,1.11043,2.46148,0.352729,137,24,379,15,15,3,3,1,2.3495999999999997,w,1,0,0,3,2.108751,Bundesliga,2018
120,Hoffenheim,2018-10-27 16:30:00,h,2.93243,0.253449,2.93243,0.253449,114,29,329,14,19,0,4,0,2.9267,w,1,0,0,3,2.6789810000000003,Bundesliga,2018
120,Hoffenheim,2018-11-03 14:30:00,a,1.93557,2.21447,1.17779,2.21447,286,28,220,23,4,8,4,1,1.2006,w,1,0,0,3,-1.03668,Bundesliga,2018
120,Hoffenheim,2018-11-10 14:30:00,h,1.82862,1.14191,1.82862,1.14191,279,25,278,21,12,17,2,1,1.8812,w,1,0,0,3,0.6867099999999999,Bundesliga,2018
120,Hoffenheim,2018-11-24 14:30:00,a,1.68148,2.69304,1.68148,2.69304,301,21,185,21,9,14,3,3,0.7524,d,0,1,0,1,-1.0115599999999998,Bundesliga,2018
120,Hoffenheim,2018-12-01 17:30:00,h,2.35914,2.15866,1.60145,1.40089,249,38,216,25,10,3,1,1,1.5232,d,0,1,0,1,0.20056,Bundesliga,2018
120,Hoffenheim,2018-12-08 14:30:00,a,2.10256,0.515385,2.10256,0.515385,305,21,262,17,6,2,2,2,2.6366,d,0,1,0,1,1.587175,Bundesliga,2018
120,Hoffenheim,2018-12-15 14:30:00,h,3.933,0.584205,3.933,0.584205,210,27,305,15,17,3,0,0,2.9253,d,0,1,0,1,3.348795,Bundesliga,2018
120,Hoffenheim,2018-12-19 19:30:00,a,1.90654,2.39195,1.90654,2.39195,242,28,270,25,4,11,1,1,1.0896,d,0,1,0,1,-0.4854100000000001,Bundesliga,2018
120,Hoffenheim,2018-12-23 17:00:00,h,2.21326,0.963816,2.21326,0.963816,169,23,375,19,12,7,1,1,2.2362,d,0,1,0,1,1.249444,Bundesliga,2018
120,Hoffenheim,2019-01-18 19:30:00,h,1.1596,3.31311,1.1596,3.31311,350,28,280,22,7,17,1,3,0.2518,l,0,0,1,0,-2.15351,Bundesliga,2018
120,Hoffenheim,2019-01-26 14:30:00,a,3.27125,1.77454,2.51347,1.77454,206,30,311,33,6,3,4,2,2.354,w,1,0,0,3,0.7389299999999999,Bundesliga,2018
120,Hoffenheim,2019-02-02 14:30:00,h,1.63645,1.17944,0.878678,1.17944,149,30,355,22,3,1,1,1,1.7297,d,0,1,0,1,-0.3007620000000001,Bundesliga,2018
120,Hoffenheim,2019-02-09 14:30:00,a,2.47538,1.99653,2.47538,1.99653,374,29,247,16,8,13,3,3,1.6962,d,0,1,0,1,0.47885,Bundesliga,2018
120,Hoffenheim,2019-02-16 14:30:00,h,3.59387,0.41327,3.59387,0.41327,209,35,317,18,13,2,3,0,2.9171,w,1,0,0,3,3.1806,Bundesliga,2018
120,Hoffenheim,2019-02-25 19:30:00,a,1.30993,1.91108,1.30993,1.91108,154,30,238,45,4,7,1,1,0.9173,d,0,1,0,1,-0.6011499999999999,Bundesliga,2018
120,Hoffenheim,2019-03-02 14:30:00,a,1.76367,2.30575,1.76367,2.30575,201,21,243,37,5,12,2,3,0.9934,l,0,0,1,0,-0.5420800000000001,Bundesliga,2018
120,Hoffenheim,2019-03-10 14:30:00,h,2.64002,0.79045,1.88225,0.79045,204,33,328,12,12,3,2,1,2.6235999999999997,w,1,0,0,3,1.0918,Bundesliga,2018
120,Hoffenheim,2019-03-16 14:30:00,a,2.90274,1.35935,2.90274,1.35935,163,21,343,18,15,4,1,1,2.3302000000000005,d,0,1,0,1,1.54339,Bundesliga,2018
120,Hoffenheim,2019-03-29 19:30:00,h,2.4473,1.71436,2.4473,1.71436,396,23,201,20,3,13,4,1,1.9456,w,1,0,0,3,0.7329399999999997,Bundesliga,2018
120,Hoffenheim,2019-04-07 14:30:00,a,3.60653,0.653608,3.60653,0.653608,202,16,385,34,10,5,4,0,2.8414,w,1,0,0,3,2.952922,Bundesliga,2018
120,Hoffenheim,2019-04-14 12:30:00,h,3.53386,0.305091,3.53386,0.305091,211,35,354,25,14,7,2,0,2.9158000000000004,w,1,0,0,3,3.228769,Bundesliga,2018
120,Hoffenheim,2019-04-20 19:30:00,a,1.87167,2.02105,1.87167,1.26327,173,24,323,28,5,6,5,2,1.2651,w,1,0,0,3,0.6084,Bundesliga,2018
120,Hoffenheim,2019-04-28 14:30:00,h,3.38957,2.05348,2.63187,2.05348,292,25,237,26,7,9,1,4,2.2409999999999997,l,0,0,1,0,0.5783900000000002,Bundesliga,2018
120,Hoffenheim,2019-05-04 14:30:00,a,3.2364,1.23948,3.2364,1.23948,186,33,291,14,11,9,2,2,2.5172,d,0,1,0,1,1.9969200000000005,Bundesliga,2018
120,Hoffenheim,2019-05-11 14:30:00,h,1.80986,0.931751,1.80986,0.931751,117,30,308,19,8,7,0,1,2.0311,l,0,0,1,0,0.878109,Bundesliga,2018
120,Hoffenheim,2019-05-18 13:30:00,a,1.64469,2.87626,1.64469,2.11873,213,21,191,23,9,16,2,4,0.6093,l,0,0,1,0,-0.4740399999999998,Bundesliga,2018
121,Augsburg,2018-08-25 16:30:00,a,0.755029,1.32783,0.755029,1.32783,276,25,255,27,4,5,2,1,0.8386,w,1,0,0,3,-0.5728010000000001,Bundesliga,2018
121,Augsburg,2018-09-01 13:30:00,h,1.7521,1.31189,1.7521,1.31189,320,27,168,13,5,9,1,1,1.6972,d,0,1,0,1,0.44021,Bundesliga,2018
121,Augsburg,2018-09-15 13:30:00,a,0.736371,2.81187,0.736371,2.81187,229,30,186,27,4,8,1,2,0.2508,l,0,0,1,0,-2.075499,Bundesliga,2018
121,Augsburg,2018-09-22 13:30:00,h,2.11259,1.39048,2.11259,1.39048,236,29,216,17,8,6,2,3,1.8697,l,0,0,1,0,0.72211,Bundesliga,2018
121,Augsburg,2018-09-25 18:30:00,a,1.32512,1.43314,1.32512,1.43314,378,34,161,19,3,3,1,1,1.2529,d,0,1,0,1,-0.10802,Bundesliga,2018
121,Augsburg,2018-09-30 16:00:00,h,4.37565,1.61825,3.61787,1.61825,239,28,232,18,10,3,4,1,2.7992,w,1,0,0,3,1.99962,Bundesliga,2018
121,Augsburg,2018-10-06 13:30:00,a,3.18937,2.09977,3.18937,2.09977,311,33,143,6,7,8,3,4,2.0616,l,0,0,1,0,1.0896,Bundesliga,2018
